post,roast,process,bid,title,ratio,bloomRatio,bloomDuration,bloomTemperature,ssPulsesNumber,ssPulsesInterval,ssPulseTemperatures,batchPulsesNumber,batchPulsesInterval,batchPulseTemperatures
/blogs/brew-talks/fellows-take-on-ethiopia-regessa-by-april-brew-guide,,,nX77,"April, Ethiopia Regessa",16.5,3,45,96,3,20,"[96, 96, 96]",3,30,"[96, 96, 96]"
/blogs/brew-talks/fellows-take-on-ethiopia-tadesse-yonka-gemada-by-camber,,,gVLc,Tadesse Gemeda natural long bloom,16,2,40,98,4,20,"[94, 94, 94, 94]",2,30,"[93, 93]"
/blogs/brew-talks/fellows-take-on-ethiopia-yirgacheffe-adado-natural-by-proud-mary-brew-recipe,,natural,P1Ep,Ethiopia Yirgacheffe Adado Proud Mary,16,2,30,96,3,20,"[93.5, 90.5, 90.5]",3,30,"[93.5, 90.5, 90.5]"
/blogs/brew-talks/fellows-take-on-excelsior-panoramic-brew-recipe,,,9CB2,"Excelsior, Panoramic",16,1.5,30,92,3,23,"[92, 92, 92]",1,30,[92]
/blogs/brew-talks/fellows-take-on-finca-san-antoniol-by-prodigal-brew-recipe,,washed,ZLTv,"Prodigal, Nilson Lopez Washed Gesha",17,2.5,45,99,3,23,"[99, 99, 99]",4,30,"[99, 99, 99, 99]"
/blogs/brew-talks/fellows-take-on-flower-child-el-nevado-decaf-brew-guide,,washed,LGee,"Flower Child, El Nevado Decaf",17,3,60,99,5,23,"[99, 98, 98, 98, 98]",5,30,"[99, 98, 98, 98, 98]"
/blogs/brew-talks/fellows-take-on-flying-jewel-by-utopian-brew-recipe,,,GCL5,"Utopian, Flying Jewel",16,3,50,96.5,3,22,"[96.5, 95.5, 94.5]",4,15,"[94.5, 94.5, 94.5, 94.5]"
/blogs/brew-talks/fellows-take-on-george-howell-coffee-el-meson-colombia-brew-recipe,,,Ddkr,"George Howell Coffee, El Meson Colombia",15.5,2,30,93.5,3,23,"[93.5, 90, 90]",5,30,"[93.5, 90, 90, 90, 90]"
/blogs/brew-talks/fellows-take-on-gitare-ab-by-regalia-coffee-roasters-brew-recipe,,,Sbex,"Regalia, Kenya Gitare AB",16.5,2,40,94,3,23,"[94, 94, 94]",4,30,"[94, 94, 94, 94]"
/blogs/brew-talks/fellows-take-on-guatemala-cuevitas-anaerobic-brew-recipe,,anaerobic,Vn3m,Guatemala Cuevitas Anaerobic Sightglass,15.5,2,45,94,3,23,"[94, 94, 94]",3,30,"[94, 94, 94]"
/blogs/brew-talks/fellows-take-on-guatemala-flor-del-cafe-by-square-mile-brew-recipe,,washed,gypb,"Square Mile, Flor del Cafe",16.5,3,45,94,3,20,"[98, 98, 98]",3,20,"[96, 95, 95]"
/blogs/brew-talks/fellows-take-on-guatemala-la-esperanza-by-linea-brew-guide,,,n4on,"Linea, Guatemala La Esperanza",15.5,2.5,35,94,3,23,"[93, 93, 93]",4,30,"[93, 93, 93, 93]"
/blogs/brew-talks/fellows-take-on-hambela-ea-decaf-by-broadsheet-brew-recipe,,natural,pASV,"Broadsheet, Hambela EA Decaf",15.5,2.5,30,98,3,23,"[98, 96, 96]",5,30,"[98, 97, 96, 95, 94]"
/blogs/brew-talks/fellows-take-on-heart-roasters-colombia-javier-omar-de-la-rosa-brew-recipe,,washed,S1z7,"Heart, Colombia Javier Omar de la Rosa",17,2,45,99,3,20,"[96, 93.5, 90.5]",8,15,"[93.5, 93, 93, 92, 91.5, 91, 90.5, 90]"
/blogs/brew-talks/fellows-take-on-heart-roasters-colombia-san-agustin-decaf-brew-recipe,,,rmMa,"Heart, Colombia San Agustin Decaf",17,2,45,99,3,20,"[96, 93.5, 90.5]",8,15,"[93.5, 93, 93, 92, 91.5, 91, 90.5, 90]"
/blogs/brew-talks/fellows-take-on-heart-x-dandelion-brew-guide,,,jgl8,"Heart, Colombia Diomed Montano Tovar",16,2,30,99,3,23,"[99, 99, 99]",1,30,[99]
/blogs/brew-talks/fellows-take-on-hex-coffee-roasters-ture-waji-bookisa-natural-brew-recipe,,natural,XNFe,"HEX, Ture Waji Bookisa Natural",16.5,3,45,98,2,20,"[98, 93.5]",3,20,"[98, 98, 93.5]"
/blogs/brew-talks/fellows-take-on-heza-by-sey-brew-recipe,,washed,mxdr,Burundi Heza + Bukeye SEY,18,3,40,97,3,30,"[97, 97, 97]",3,35,"[97, 97, 97]"
/blogs/brew-talks/fellows-take-on-holiday-drop-by-red-rooster-brew-recipe,,,bcX9,Good Tidings Blend Red Rooster,17,2,30,95,3,20,"[95, 95, 93.5]",1,30,[93.5]
/blogs/brew-talks/fellows-take-on-holiday-drop-by-red-rooster-brew-recipe,,,ksF3,Leg Lamp Blend Red Rooster,16,2.5,30,93.5,3,20,"[92, 92, 90.5]",1,30,[92]
/blogs/brew-talks/fellows-take-on-honduras-nahun-fernandez-natural-by-merit-brew-recipe,,natural,1jHF,"Merit, Honduras Nahun Fernandez Natural",17,3,45,99,4,23,"[93, 93, 93, 93]",5,30,"[93, 93, 93, 93, 93]"
/blogs/brew-talks/fellows-take-on-ilse-coffee-chelbesa-brew-recipe,,washed,AHq2,"Ilse, Ethiopia Chelbesa",17,3,60,97,3,25,"[97, 97, 97]",3,30,"[97, 97, 97]"
/blogs/brew-talks/fellows-take-on-immigrant-culture-citrus-harmony-brew-guide,,washed,7w55,"Immigrant Culture, Citrus Harmony",14,2.5,30,93,3,23,"[93, 93, 93]",3,30,"[93, 93, 93]"
/blogs/brew-talks/fellows-take-on-indonesia-natural-mount-ijen-by-andytown-coffee-brew-recipe,medium,natural,UT0d,"Andytown, Indonesia Natural Mount Ijen",16,2.5,30,92.5,3,23,"[92.5, 92.5, 92.5]",3,30,"[92.5, 92.5, 92.5]"
/blogs/brew-talks/fellows-take-on-intango-dark-roast-by-counter-culture-brew-guide,dark,washed,I47q,"Counter Culture, Intango Dark Roast",17,2.5,45,96,3,28,"[94.5, 92.5, 92]",1,30,[96]
/blogs/brew-talks/fellows-take-on-intelligentsia-kenya-ndumberi-brew-recipe,,washed,jdHi,"Intelligentsia, Kenya Ndumberi",17,3,30,90,3,30,"[89, 88, 87]",5,1,"[90, 89, 88, 87, 86]"
/blogs/brew-talks/fellows-take-on-jbc-coffee-roasters-wilton-benitez-yellow-bourbon-brew-recipe,,,dWxk,"JBC, Wilton Benitez Yellow Bourbon",16,3,40,96,2,25,"[95, 94]",2,40,"[95, 94]"
/blogs/brew-talks/fellows-take-on-jorge-rojas-la-roca-by-broadsheet-coffee-roasters-brew-recipe,,washed,ALcT,"Broadsheet, Jorge Rojas La Roca",16,3,45,95,3,30,"[94, 92, 90]",3,30,"[94, 92, 90]"
/blogs/brew-talks/fellows-take-on-kenya-spike-aa-by-camber-coffee-brew-recipe,,,2cyQ,"Camber, Kenya Spike AA",17,3,30,90,3,30,"[89, 88, 87]",5,23,"[89, 88, 87, 86, 85]"
/blogs/brew-talks/fellows-take-on-kilonova-by-bigface-brew-recipe,,,quoM,"BIGFACE, Kilonova",17,3,45,95,3,30,"[94, 92, 90]",3,30,"[94, 92, 90]"
/blogs/brew-talks/fellows-take-on-la-guaca-by-methodical-coffee-brew-recipe,,honey processed,taZH,"Methodical, Costa Rica La Guaca",16,2.5,45,96,3,28,"[94.5, 93, 93]",4,30,"[94.5, 94.5, 93, 93]"
/blogs/brew-talks/fellows-take-on-lights-out-decaf-by-mom-n-em-coffee-roasters-brew-recipe,,washed,lg1X,"Mom 'n' Em, Lights Out Decaf",17,3,45,93,3,23,"[92, 92, 91]",3,30,"[92, 92, 91]"
/blogs/brew-talks/fellows-take-on-linea-caffe-ethiopia-suke-decafo-brew-recipe,,natural,hB9a,"Linea, Ethiopia Suke Decaf",15.5,2,30,95.55,3,23,"[95.55, 95.55, 95.55]",1,30,[95.55]
/blogs/brew-talks/fellows-take-on-los-pinos-bourbon-from-civil-coffee-brew-recipe,,natural,aR45,"Civil Coffee, Los Pinos",14.5,3,60,96,2,4,"[95, 90]",3,1,"[95, 93, 90]"
/blogs/brew-talks/fellows-take-on-los-pirineos-pacamara-by-tim-wendelboe-brew-recipe,light,,eCcm,"Tim Wendelboe, Los Pirineos",15.5,1.5,40,97.5,2,40,"[97.5, 97.5]",3,40,"[97.5, 97.5, 97.5]"
/blogs/brew-talks/fellows-take-on-lucias-guatemala-by-doma-brew-recipe,dark,washed,vA1c,"DOMA, Lucia's Dark Roast",16,2.5,30,94,3,23,"[94, 92, 91]",4,30,"[94, 94, 92, 91]"
/blogs/brew-talks/fellows-take-on-madcap-coffee-abdo-aba-mecha-ea-decaf-brew-recipe,,,yov9,"Madcap, Abdo Aba Mecha Decaf",15.5,2.5,30,98,3,23,"[98, 96, 95]",5,30,"[98, 97, 96, 95, 94]"
/blogs/brew-talks/fellows-take-on-merit-coffee-sugarcane-decaf-brew-recipe,,,lZt3,"Merit, Sugarcane Decaf",17,3,40,96,4,13,"[95, 95, 95, 88]",1,30,[95]
/blogs/brew-talks/fellows-take-on-methodical-coffee-berry-spice-brew-recipe,,,My23,"Methodical, Berry Spice",15,3,30,96,3,23,"[93, 92, 91]",3,30,"[93, 92, 91]"
/blogs/brew-talks/fellows-take-on-methodical-oscuro-dark-roast-brew-guide,dark,,7Mrr,"Methodical, Oscuro Dark Roast",15,2,30,92.5,3,23,"[92, 92, 92]",3,30,"[92, 92, 92]"
/blogs/brew-talks/fellows-take-on-methodical-sunset-decaf-brew-recipe,,washed,b7g6,"Methodical, Sunset Decaf",16,3,35,95,4,23,"[95, 95, 95, 95]",5,25,"[95, 95, 95, 95, 95]"
/blogs/brew-talks/fellows-take-on-mexico-mazateca-mujeres-by-onyx-coffee-lab-brew-recipe,,,mfcN,"Onyx, Mexico Mazateca Mujeres",16,3,35,94.5,4,30,"[90, 91, 92, 93]",5,30,"[96, 93, 93, 90.5, 90.5]"
/blogs/brew-talks/fellows-take-on-modcup-coffee-disco-peach-connection-brew-recipe,,washed,loFc,"ModCup, Disco Peach Connection",17,2.5,45,91,3,23,"[87, 86, 85]",4,30,"[87, 86, 85, 84]"
/blogs/brew-talks/fellows-take-on-nelin-guzman-anaerobic-natural-by-cat-cloud-brew-recipe,,anaerobic,jZgy,"Cat & Cloud, Honduras Nelin Guzman",17,2,30,96.5,3,23,"[98, 96.5, 96.5]",2,30,"[98, 96.5]"
/blogs/brew-talks/fellows-take-on-nicaguara-prodecoop-by-red-rooster-brew-recipe,dark,,LU5w,"Red Rooster, Nicaragua Prodecoop Dark Roast",15.5,2,30,99,3,23,"[85, 85, 85]",3,30,"[85, 85, 85]"
/blogs/brew-talks/fellows-take-on-olympia-amparo-pajoy-brew-recipe,,,1um9,Amparo Pajoy Good Food Awards Winner Olympia,15,2.5,40,93,3,30,"[93, 93, 93]",3,32,"[93, 93, 93]"
/blogs/brew-talks/fellows-take-on-olympia-coffee-el-salvador-cerro-las-ranas-honey-brew-recipe,,honey,FXoR,"Olympia, El Salvador Cerros Las Ranas Honey",15,2,30,96,4,25,"[96, 96, 93.5, 93.5]",4,25,"[96, 96, 93.5, 93.5]"
/blogs/brew-talks/fellows-take-on-olympia-coffee-nicaragua-la-roca-brew-recipe,,washed,oI7O,"Olympia, Nicaragua La Roca",15,2,30,96,4,23,"[96, 96, 93.5, 93.5]",1,25,[96]
